Model,Avg_Pos,Avg_Neg,Margin,Avg_Rand_Neg,threshold_1,threshold_1.1,threshold_1.2,threshold_1.5,threshold_2,threshold_3
Standard_S_vision_epoch14,0.36949246215820300,0.35900475883483900,0.010487703323364300,0.006191318854689600,0.631,0.236,0.112,0.028,0.011,0.005
Standard_S_vision_epoch15,0.3652533264160160,0.35463935089111300,0.010613975524902300,0.009599062614142900,0.63,0.24,0.108,0.031,0.008,0.003
Standard_S_vision_epoch16,0.36174810791015600,0.350794294834137,0.010953813076019300,0.00616532051935792,0.632,0.239,0.117,0.03,0.011,0.007
Standard_S_vision_epoch17,0.3591207809448240,0.3481175575256350,0.011003223419189400,-0.0018277582712471500,0.63,0.242,0.119,0.029,0.011,0.005
Standard_S_vision_epoch18,0.3581489715576170,0.34753758335113500,0.010611388206481900,0.0027060615830123400,0.632,0.237,0.116,0.03,0.012,0.005
Standard_S_vision_epoch19,0.35761652755737300,0.34704941511154200,0.010567112445831300,0.00715376203879714,0.63,0.238,0.12,0.03,0.012,0.005
Standard_S_vision_epoch20,0.3576201057434080,0.34697833728790300,0.010641768455505400,0.0063159652054309800,0.629,0.239,0.12,0.03,0.012,0.005
Standard_S_last_epoch1,0.5200225830078130,0.506310546875,0.013712036132812500,0.009500514715909960,0.656,0.153,0.056,0.012,0.003,0.002
Standard_S_last_epoch2,0.5686412658691410,0.5564002685546880,0.012240997314453200,0.018090881407260900,0.65,0.129,0.056,0.011,0.003,0.001
Standard_S_last_epoch3,0.5854825897216800,0.5740878601074220,0.011394729614257800,0.026100434362888300,0.632,0.127,0.053,0.011,0.004,0.001
Standard_S_last_epoch4,0.5935221862792970,0.5823255615234380,0.011196624755859400,0.025468289852142300,0.631,0.121,0.047,0.012,0.004,0.001
Standard_S_last_epoch5,0.5989356384277340,0.5878975524902340,0.011038085937500000,0.02640284039080140,0.633,0.116,0.046,0.011,0.004,0.002
Standard_S_last_epoch6,0.6029000854492190,0.5921759033203120,0.010724182128906400,0.02202226035296920,0.636,0.109,0.043,0.011,0.004,0.003
Standard_S_last_epoch7,0.6036886749267580,0.5930168914794920,0.010671783447265600,0.03687683865427970,0.634,0.11,0.045,0.011,0.004,0.003
HNC_KL_1_S_full_epoch1,0.6602844123840330,0.6481849250793460,0.012099487304687600,0.009699076414108280,0.647,0.122,0.051,0.018,0.007,0.003
HNC_KL_1_S_full_epoch2,0.6590791893005370,0.6464580841064450,0.012621105194091800,0.014235827140510100,0.637,0.128,0.065,0.018,0.003,0.001
HNC_KL_1_S_full_epoch3,0.6521649780273440,0.6373033905029300,0.014861587524414000,0.018303129822015800,0.62,0.165,0.081,0.025,0.003,0.001
